country,cluster_final,income_level_mode
Algeria,2,LM
Australia,2,H
Austria,0,H
Bolivia,2,LM
Bosnia and Herz.,0,UM
Botswana,2,UM
Brazil,2,UM
Burundi,1,L
Canada,0,H
Central African Rep.,1,L
Chad,2,L
Colombia,2,LM
Cuba,1,LM
Egypt,2,LM
Finland,0,H
Gabon,1,UM
Germany,0,H
Honduras,1,LM
Japan,0,H
Kazakhstan,0,UM
Madagascar,1,L
Malawi,1,L
Morocco,2,LM
Mozambique,1,L
Netherlands,0,H
Nicaragua,1,LM
Niger,2,L
Pakistan,2,L
Philippines,1,LM
Sierra Leone,1,L
South Africa,2,UM
Sri Lanka,1,LM
Sweden,0,H
Switzerland,0,H
Thailand,1,LM
Tunisia,2,LM
Uganda,1,L
Ukraine,0,LM
United States of America,0,H
Zimbabwe,1,L
