,coef,std_err,t,p,p_adj_fdr,sig_fdr_05
max_temp_z_lag1,-235.20101477161626,97.92988742367466,-2.4017286342224073,0.01631780836796505,0.29884030917625204,False
max_heat_intensity_z_lag1,78.0384253365872,32.96861618468449,2.3670518926068786,0.01793041855057512,0.29884030917625204,False
winter_mean_snow_density_z_lag1,-36.57689895691022,14.93051201931014,-2.449808747992304,0.014293211116197656,0.29884030917625204,False
mean_annual_rsn_z_lag1,20.499676396042922,10.599976708468747,1.9339359849408828,0.053120999051400775,0.6640124881425097,False
ozone_mean_z_lag1,17.248344913891913,11.622896916073252,1.4839970653133174,0.1378096991453855,0.7656094396965861,False
runoff_days_z_lag1,24.92791958696967,15.16345963611183,1.6439467103934347,0.10018721041468917,0.7656094396965861,False
drought_episodes_z_lag1,-12.760025582045687,8.097262564604208,-1.5758443647145577,0.1150616752695816,0.7656094396965861,False
max_monthly_wind_speed_z_lag1,-3.3078389942804325,2.1777549798937517,-1.5189215613419538,0.12878224106186573,0.7656094396965861,False
anomaly_cold_days_z_lag1,1.9347357243969843,1.1377582995445303,1.7004804317151556,0.08904059409484522,0.7656094396965861,False
min_monthly_soil_moisture_z_lag1,7.395116130112539,7.886410415924789,0.9377036877487134,0.34839670814934964,0.9050675299776358,False
mean_cold_area_z_lag1,695.1971024520071,896.507641422046,0.775450280991784,0.43807363374624575,0.9050675299776358,False
health_exp_z_lag1,7.133023113717167,7.506485927667719,0.9502479832042278,0.341986262701672,0.9050675299776358,False
mean_sensible_heat_z_lag1,30.857587826131933,41.431183336433115,0.7447913706823059,0.4563978523829111,0.9050675299776358,False
city_z_lag1,-20.73320832929535,30.68039082483166,-0.6757804503753126,0.4991800486309468,0.9050675299776358,False
mean_annual_net_thermal_z_lag1,55.45012410472097,62.6073778514874,0.8856803464322633,0.37578980186234157,0.9050675299776358,False
mean_soil_moisture_z_lag1,37.724137455771995,55.41708806760661,0.6807311385569388,0.4960416294484882,0.9050675299776358,False
anomaly_heat_days_z_lag1,6.868321154296245,5.2999072035462165,1.2959323419286641,0.19499879555949184,0.9050675299776358,False
annual_freeze_burden_z_lag1,-711.0485427850402,889.4558353961266,-0.7994197288821753,0.42404707447698,0.9050675299776358,False
pm25_mean_z_lag1,-5.818644770596577,9.10882117490147,-0.6387922936317296,0.5229580622432712,0.9050675299776358,False
max_rolling_heat_stress_z_lag1,2.3107096246278753,3.6506854158047664,0.6329522709966223,0.5267648118135952,0.9050675299776358,False
mean_temp_z_lag1,35.603306006964246,42.625932931350135,0.8352498950416883,0.40357702205204626,0.9050675299776358,False
annual_heat_intensity_sum_z_lag1,-4.69836912240004,5.7086055853263495,-0.823032709507368,0.41048939277683094,0.9050675299776358,False
